{'epoch': 111, 'iter': 352, 'loss': 0.08634969592094421, 'loss_fs': 0.08616823703050613, 'loss_cls': 0.00014104385627433658, 'loss_cap': 0.004041085485368967}
{'epoch': 112, 'iter': 352, 'loss': 0.09072376042604446, 'loss_fs': 0.09066548943519592, 'loss_cls': 5.225210770731792e-05, 'loss_cap': 0.0006022951565682888}
{'epoch': 113, 'iter': 352, 'loss': 0.050855979323387146, 'loss_fs': 0.05077681317925453, 'loss_cls': 6.091247632866725e-05, 'loss_cap': 0.0018252339214086533}
{'epoch': 114, 'iter': 352, 'loss': 0.03325662389397621, 'loss_fs': 0.03318632394075394, 'loss_cls': 5.80528358113952e-05, 'loss_cap': 0.0012250387808308005}
{'epoch': 115, 'iter': 352, 'loss': 0.04983280599117279, 'loss_fs': 0.049727801233530045, 'loss_cls': 9.869537461781874e-05, 'loss_cap': 0.0006311115575954318}
{'epoch': 116, 'iter': 352, 'loss': 0.0723826140165329, 'loss_fs': 0.07166042923927307, 'loss_cls': 0.0007085227407515049, 'loss_cap': 0.001366479555144906}
{'epoch': 117, 'iter': 352, 'loss': 0.04131917655467987, 'loss_fs': 0.0412818118929863, 'loss_cls': 2.451672662573401e-05, 'loss_cap': 0.0012849541381001472}
{'epoch': 118, 'iter': 352, 'loss': 0.0245063416659832, 'loss_fs': 0.024491339921951294, 'loss_cls': 4.3710048203138285e-07, 'loss_cap': 0.0014563583536073565}
{'epoch': 119, 'iter': 352, 'loss': 0.04344722256064415, 'loss_fs': 0.04335438832640648, 'loss_cls': 1.708630588836968e-05, 'loss_cap': 0.0075748031958937645}
{'epoch': 120, 'iter': 352, 'loss': 0.08125882595777512, 'loss_fs': 0.08115380257368088, 'loss_cls': 9.206017421092838e-05, 'loss_cap': 0.0012967220973223448}
{'epoch': 121, 'iter': 352, 'loss': 0.05006329342722893, 'loss_fs': 0.0498456247150898, 'loss_cls': 0.00020662810129579157, 'loss_cap': 0.0011042006080970168}
{'epoch': 122, 'iter': 352, 'loss': 0.034185126423835754, 'loss_fs': 0.03412657976150513, 'loss_cls': 4.859669934376143e-05, 'loss_cap': 0.0009951717220246792}
{'epoch': 123, 'iter': 352, 'loss': 0.08106418699026108, 'loss_fs': 0.08104869723320007, 'loss_cls': 8.66244863573229e-06, 'loss_cap': 0.000682145357131958}
{'epoch': 124, 'iter': 352, 'loss': 0.08732122927904129, 'loss_fs': 0.08712829649448395, 'loss_cls': 0.00018033626838587224, 'loss_cap': 0.0012595667503774166}
{'epoch': 125, 'iter': 352, 'loss': 0.058801278471946716, 'loss_fs': 0.05875079333782196, 'loss_cls': 4.4265609176363796e-05, 'loss_cap': 0.0006219905335456133}
{'epoch': 126, 'iter': 352, 'loss': 0.0333709791302681, 'loss_fs': 0.03316975384950638, 'loss_cls': 0.00019457396410871297, 'loss_cap': 0.0006650423165410757}
{'epoch': 127, 'iter': 352, 'loss': 0.046562422066926956, 'loss_fs': 0.0465388149023056, 'loss_cls': 1.637127570575103e-05, 'loss_cap': 0.0007234122604131699}
{'epoch': 128, 'iter': 352, 'loss': 0.08442169427871704, 'loss_fs': 0.08305221050977707, 'loss_cls': 0.0013556097401306033, 'loss_cap': 0.0013873849529772997}
{'epoch': 129, 'iter': 352, 'loss': 0.030278705060482025, 'loss_fs': 0.030190950259566307, 'loss_cls': 7.390673272311687e-05, 'loss_cap': 0.0013849119422957301}
{'epoch': 130, 'iter': 352, 'loss': 0.04887044429779053, 'loss_fs': 0.04857470840215683, 'loss_cls': 8.904068090487272e-05, 'loss_cap': 0.020669344812631607}
{'epoch': 131, 'iter': 352, 'loss': 0.039267051964998245, 'loss_fs': 0.03920130804181099, 'loss_cls': 5.65424415981397e-05, 'loss_cap': 0.000920235994271934}
{'epoch': 132, 'iter': 352, 'loss': 0.054683953523635864, 'loss_fs': 0.05454697459936142, 'loss_cls': 0.00012848990445490927, 'loss_cap': 0.000849011994432658}
